RUC,RAZON_SOCIAL,UBIGEO,DIRECCION,ES_ANEXO,DISTRITO,TIPO_PERSONA
20609697912,CLEVELAND GROUP SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040129,C 6 AGRICULTURA URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609698081,REIVE SERVICIOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040109,PJ. JOSE OLAYA 116 GNMO SAN MARTIN P.J.,0,MARIANO MELGAR,JURIDICA
20609714132,DISTRIBUIDORA Y REPUESTOS ANTARES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,040107,CAL. HEROES DE CENEPA G 3 HEROES DE CENEPA OTR.,0,JACOBO HUNTER,JURIDICA
20609714680,DISTRIBUIDORA MENDOZA Y & M EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,040112,CAL. JOSE SANTOS CHOCANO 107 15 DE ENERO URB.,0,PAUCARPATA,JURIDICA
20609719991,JC FRANKRY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040129,AV. GARCILAZO DE LA VEGA 316,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609725282,DISTRIBUIDORA DE FRUTAS RUIZCAR E.I.R.L.,040129,AV. VIDAURRAZAGA S/N Q27 MEGACENTRO MI MERCADO ----,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609750881,DISOLVENTES QUIMICOS Y AFINES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,F 8 PARQUE INDUSTRIAL PORVENI ASC.,0,CERRO COLORADO,JURIDICA
20609781492,PTP DIGITAL MARKET PERU S.A.C.,040101,CAL. RIVERO (115-A) 115,0,AREQUIPA (CERCADO),JURIDICA
20609806410,JUNTA DE PROPIETARIOS DEL CENTRO COMERCIAL PASEO CENTRAL,040107,AV. ARTURO IBAÑEZ 105,0,JACOBO HUNTER,JURIDICA
20609808609,DISTRIBUIDORA EL PERRO CALATO AREQUIPEÑO E.I.R.L.,040104,AV. CHACHANI B 13 URV 12 DE OCTUBRE ----,0,CERRO COLORADO,JURIDICA
20609815877,DISTRIBUIDORA O & C S.R.L.,040101,A 18 LAMBRAMANI URB.,0,AREQUIPA (CERCADO),JURIDICA
20609821508,COMPAÑIA MINERA SANTA EMMA ROSA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040126,CAL. CHULLO 701 306 CHULLO RES.,0,YANAHUARA,JURIDICA
20609830370,MSIERRA LOGISTICS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,AV. PROLONGACION AVENIDA EJER 542 CERRITO LOS ALVAREZ URB.,0,CERRO COLORADO,JURIDICA
20609832399,DISTRIBUIDORA SALDIR E.I.R.L.,040101,CAL. JACINTO IBAÑEZ 315 D208 PARQUE INDUSTRIAL URB.,0,AREQUIPA (CERCADO),JURIDICA
20609833671,RM & BK INSTITUCION EDUCATIVA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040104,---- SECT. BOLIVIA ZN.III A 6 ASC.URB. PERUARBO A.H.,0,CERRO COLORADO,JURIDICA
20609835525,COMERCIAL NURIEL E.I.R.L.,040101,PJ. SANTA ROSA 132 2 ORRANTIA URB.,0,AREQUIPA (CERCADO),JURIDICA
20609835754,DISTRIBUIDORA ROMUAL S.A.C.,040110,PJ. MELGAR 125,0,MIRAFLORES,JURIDICA
20609868148,INDUSTRIAS WALI SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040112,B 10 VILLA MARIA DEL TRIUNFO URB.,0,PAUCARPATA,JURIDICA
20609881497,ALL MARKET SERVICE E.I.R.L.,040129,CAL. EDMUNDO ESCOMEL 305 CERRO JULI URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609882086,BODEGA DANITZA E.I.R.L.,040122,AV. PAISAJISTA 601A BELLAPAMPA URB.,0,SOCABAYA,JURIDICA
20609884518,DISTRIBUIDORA GM PERU S.A.C.,040129,111 C.H. VINATEA REYNOSO H OTR.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609901307,DISTRIBUIDORA NAZARETH E.I.R.L.,040101,CAL. QUINTA ROMAÑA 320,0,AREQUIPA (CERCADO),JURIDICA
20609927021,AGROINDUSTRIAL LA PASCANA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040129,H 3 VILLA ELECTRICA URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609948362,EL SOTANO PINTO PIZZA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040112,AV. PIZARRO 180,0,PAUCARPATA,JURIDICA
20609963019,IMPORTADORA Y DISTRIBUIDORA BENAVENTE E.I.R.L.,040102,AV. LAS TORRES K 2 VILLA EL MIRADOR RES.,0,ALTO SELVA ALEGRE,JURIDICA
20609966115,FRUTICREPS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040107,CAL. ARTURO IBAÑEZ S/N M2-6 PAGO CERRO JULI - PARQUE OTR.,0,JACOBO HUNTER,JURIDICA
20609967111,COMERCIAL FERRETERA COLCA E.I.R.L.,040103,AV. MERCADO VILLA CONTINENTAL 15 J 1 VILLA CONTINENTAL APV.,0,CAYMA,JURIDICA
20609980908,DISTRIBUIDORA DE PERNO JSA S.R.L.,040101,AV. VIRGEN DEL PILAR 2 I C.C. DON MANUEL ----,0,AREQUIPA (CERCADO),JURIDICA
20609993082,PC MARKET AQP SERVICIOS MULTIPLES S.A.C.S.,040104,"CAL. JACARANDA D 3 101 EL SOLAR DE CHALLAPAMPA, URB.",0,CERRO COLORADO,JURIDICA
20609999790,ASOCIACION DE PROPIETARIOS DEL CENTRO COMERCIAL ANDRES AVELINO CACERES APCA-SUVAA,040129,-- CAMPO FERIAL AVELINO CACE ----,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610003720,DISTRIBUIDORA E INVERSIONES TAYOL E.I.R.L.,040104,CAL. TUPAC AMARU 521 LA LIBERTAD URB.,0,CERRO COLORADO,JURIDICA
20610005242,DISTRIBUIDORA Y COMERCIALIZADORA BARDALES E.I.R.L.,040104,AV. SECTOR RIO SECO C C 15 1RA ETAPA URB.,0,CERRO COLORADO,JURIDICA
20610012532,SERVICIOS DISTRIBUIDORA DE PRODUCTOS CARNICOS E.I.R.L.,040122,CAL. LOPEZ ALBUJAR 103 URB 4 DE OCTUBRE URB.,0,SOCABAYA,JURIDICA
20610030131,DISTRIBUIDORA DOMUM E.I.R.L.,040101,CAL. LETICIA 202 IV CENTENARIO URB.,0,AREQUIPA (CERCADO),JURIDICA
20610067931,COMERCIAL DISTRIBUIDORA LAM E.I.R.L.,040102,OTR. ZONA C Q 4 VILLA CONFRATERNIDAD ALTO OTR.,0,ALTO SELVA ALEGRE,JURIDICA
20610075941,COMERCIAL E INVERSIONES MAÑAZO E.I.R.L.,040104,CAL. AYACUCHO Q 5 RIO SECO P.J.,0,CERRO COLORADO,JURIDICA
20610079602,IMPORTADORA & DISTRIBUIDORA SANTA INES E.I.R.L.,040129,AV. ANDRES AVELINO CACERES 101A ASOC. GRATERSA PASADIZO OTR.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610096311,INVERSIONES P.Q.Y.D.F. SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA INVERSIONES P.Q.Y.D.F. S.R.L.,040104,CAL. TAMBOPATA 302A PT ZAMACOLA ----,0,CERRO COLORADO,JURIDICA
